Average Academic score(%),Hours working per day,hackathons,coding skills rating,can work long time before system?,self-learning capability?,Extra-courses did,certifications,workshops,talenttests taken?,Interested subjects,interested career area ,Job/Higher Studies?,Type of company want to settle in?,Taken inputs from seniors or elders,interested in games,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Suggested Job Role
82.57142857,4,1,2,yes,no,no,app development,testing,yes,networks,Business process analyst,higherstudies,Cloud Services,no,yes,Journals,Management,smart worker,yes,Web Developer
79,4,3,9,no,yes,yes,python,data science,yes,data engineering,Business process analyst,higherstudies,BPA,no,yes,Self help,Technical,hard worker,no,Programmer Analyst
81.14285714,11,6,3,no,yes,no,full stack,game development,no,cloud computing,testing,job,product development,no,yes,Childrens,Technical,smart worker,no,Business Systems Analyst
78.28571429,7,4,7,yes,yes,no,shell programming,testing,no,data engineering,testing,job,Finance,yes,no,Horror,Technical,hard worker,no,Systems Security Administrator
73.57142857,10,0,2,no,yes,no,full stack,database security,no,parallel computing,system developer,job,Finance,no,yes,Childrens,Management,hard worker,no,Business Systems Analyst
74.42857143,11,4,2,yes,no,no,app development,web technologies,no,data engineering,security,job,Product based,yes,yes,Trilogy,Technical,smart worker,yes,Design & UX
77.14285714,9,6,2,no,yes,no,hadoop,hacking,yes,Computer Architecture,testing,job,SAaS services,no,yes,Childrens,Technical,smart worker,no,Solutions Architect
77.42857143,11,6,9,no,no,yes,app development,system designing,no,Computer Architecture,Business process analyst,job,Testing and Maintainance Services,no,yes,Encyclopedias,Technical,hard worker,no,Business Systems Analyst
74.42857143,9,5,7,no,yes,no,shell programming,cloud computing,no,hacking,Business process analyst,job,BPA,no,no,Encyclopedias,Management,smart worker,no,Systems Analyst
74.71428571,8,0,4,yes,no,no,full stack,system designing,yes,data engineering,testing,job,Finance,yes,yes,Action and Adventure,Technical,smart worker,no,Network Security Administrator
80.42857143,10,2,1,yes,yes,yes,app development,hacking,yes,cloud computing,Business process analyst,job,SAaS services,no,yes,Anthology,Technical,hard worker,yes,Data Architect
81.14285714,5,1,6,yes,yes,yes,python,game development,yes,Software Engineering,testing,higherstudies,BPA,yes,yes,Action and Adventure,Technical,hard worker,no,CRM Technical Developer
78.57142857,5,1,1,no,yes,no,app development,web technologies,yes,Software Engineering,cloud computing,job,Web Services,no,yes,Dictionaries,Technical,smart worker,no,Software Developer
69.42857143,5,2,6,no,yes,yes,machine learning,data science,yes,IOT,security,higherstudies,Cloud Services,yes,yes,Fantasy,Technical,hard worker,no,E-Commerce Analyst
78,11,4,8,yes,yes,yes,full stack,web technologies,no,Software Engineering,Business process analyst,job,SAaS services,no,yes,Childrens,Management,smart worker,yes,Technical Services/Help Desk/Tech Support
73.57142857,8,0,5,yes,yes,no,machine learning,testing,yes,Management,security,higherstudies,Cloud Services,yes,yes,Drama,Technical,hard worker,yes,Systems Analyst
80.14285714,5,6,8,yes,yes,no,shell programming,testing,yes,networks,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Comics,Management,hard worker,yes,Information Technology Auditor
71.85714286,4,4,2,yes,yes,no,python,testing,no,data engineering,security,higherstudies,BPA,yes,no,Art,Technical,hard worker,no,Network Security Administrator
75.85714286,7,6,5,no,yes,yes,shell programming,cloud computing,yes,Software Engineering,system developer,job,Finance,yes,no,Horror,Technical,smart worker,no,Database Manager
78.42857143,9,1,3,yes,yes,no,python,database security,yes,hacking,cloud computing,job,Product based,no,no,Self help,Management,hard worker,yes,Web Developer
79.42857143,10,5,9,no,no,no,distro making,database security,yes,Computer Architecture,system developer,job,Service Based,yes,no,Diaries,Technical,hard worker,yes,Information Security Analyst
82,12,1,1,yes,yes,no,information security,database security,no,parallel computing,security,higherstudies,Web Services,yes,yes,Science fiction,Technical,smart worker,no,E-Commerce Analyst
74.71428571,11,3,2,yes,no,yes,machine learning,cloud computing,yes,hacking,cloud computing,job,SAaS services,no,no,Comics,Management,smart worker,no,Technical Services/Help Desk/Tech Support
73.85714286,4,0,6,yes,yes,no,information security,testing,yes,programming,testing,higherstudies,BPA,no,yes,Series,Management,smart worker,yes,Applications Developer
82.28571429,6,1,4,no,yes,yes,information security,database security,yes,hacking,security,higherstudies,Cloud Services,no,yes,Childrens,Technical,hard worker,no,Software Systems Engineer
78.14285714,10,5,2,no,yes,yes,hadoop,cloud computing,yes,cloud computing,Business process analyst,job,Service Based,yes,no,Self help,Technical,hard worker,no,CRM Technical Developer
67.42857143,10,3,7,yes,yes,no,shell programming,system designing,yes,parallel computing,system developer,higherstudies,Finance,no,no,Guide,Technical,smart worker,yes,Database Manager
79.28571429,8,0,4,yes,no,no,machine learning,hacking,yes,networks,cloud computing,higherstudies,Cloud Services,no,yes,Biographies,Technical,hard worker,yes,Technical Support
75.71428571,5,6,1,no,no,no,full stack,testing,yes,Management,testing,job,Web Services,no,yes,Series,Technical,smart worker,no,Database Administrator
71,9,0,7,yes,yes,yes,distro making,hacking,yes,hacking,developer,job,Testing and Maintainance Services,yes,no,Health,Technical,smart worker,no,Network Engineer
81.28571429,6,4,3,yes,no,yes,machine learning,system designing,no,data engineering,security,job,product development,yes,yes,Diaries,Technical,hard worker,no,Mobile Applications Developer
69.42857143,4,0,4,no,no,no,distro making,testing,yes,Computer Architecture,developer,job,Web Services,yes,yes,Journals,Management,hard worker,yes,Technical Services/Help Desk/Tech Support
79.57142857,7,2,8,no,no,yes,full stack,cloud computing,yes,parallel computing,Business process analyst,job,Finance,no,yes,Diaries,Management,hard worker,no,Technical Support
75.71428571,7,5,6,yes,yes,no,machine learning,game development,yes,Management,security,job,BPA,yes,no,Diaries,Technical,hard worker,yes,Information Technology Manager
74.71428571,10,3,6,yes,no,no,r programming,web technologies,no,Management,developer,higherstudies,Cloud Services,yes,no,Art,Management,smart worker,yes,E-Commerce Analyst
77.28571429,10,5,1,yes,no,no,python,data science,no,cloud computing,security,job,Service Based,yes,no,Prayer books,Management,hard worker,no,Software Developer
77.42857143,9,2,1,no,no,no,information security,cloud computing,no,Computer Architecture,cloud computing,job,BPA,yes,no,Guide,Management,smart worker,no,Solutions Architect
77.71428571,8,5,4,no,yes,yes,python,database security,no,data engineering,system developer,higherstudies,Web Services,no,no,Childrens,Management,hard worker,yes,Software Systems Engineer
74.85714286,12,0,4,no,yes,yes,hadoop,testing,yes,data engineering,security,job,Cloud Services,yes,yes,Art,Management,smart worker,yes,Network Engineer
74,8,2,7,yes,no,no,r programming,cloud computing,yes,networks,system developer,job,Service Based,yes,yes,History,Management,smart worker,yes,Technical Support
79.57142857,4,0,9,yes,no,yes,hadoop,web technologies,yes,IOT,developer,higherstudies,Service Based,no,no,Health,Technical,hard worker,yes,Information Technology Manager
76.57142857,5,0,6,no,no,yes,information security,web technologies,yes,programming,security,job,Cloud Services,no,no,Anthology,Technical,smart worker,no,Software Engineer
73,5,5,6,yes,no,yes,information security,system designing,no,hacking,testing,higherstudies,product development,yes,yes,Science fiction,Management,hard worker,yes,Software Developer
76.28571429,5,4,7,no,yes,no,python,testing,yes,IOT,Business process analyst,higherstudies,Cloud Services,yes,yes,Travel,Management,smart worker,yes,Programmer Analyst
80,9,4,6,no,no,no,machine learning,system designing,no,cloud computing,testing,higherstudies,Service Based,yes,no,Guide,Management,smart worker,yes,CRM Business Analyst
76.85714286,7,6,4,yes,yes,no,machine learning,cloud computing,no,Computer Architecture,security,job,Service Based,no,no,Autobiographies,Technical,hard worker,no,Software Developer
73,6,6,3,yes,no,no,r programming,web technologies,yes,parallel computing,system developer,job,Web Services,yes,no,Biographies,Management,hard worker,no,Business Intelligence Analyst
81.57142857,10,3,4,no,no,no,r programming,system designing,no,data engineering,testing,job,Web Services,yes,no,Encyclopedias,Technical,hard worker,no,Database Administrator
80.85714286,8,3,4,no,yes,no,distro making,game development,yes,IOT,testing,job,Service Based,yes,no,Satire,Management,hard worker,yes,Technical Engineer
73.42857143,10,2,7,yes,no,no,app development,testing,yes,Management,developer,higherstudies,Cloud Services,no,yes,Health,Technical,hard worker,no,Data Architect
83.14285714,8,6,1,yes,yes,yes,app development,testing,yes,IOT,developer,higherstudies,Sales and Marketing,yes,no,Science,Technical,hard worker,yes,Network Security Engineer
72.28571429,5,0,3,yes,no,no,full stack,cloud computing,no,parallel computing,security,higherstudies,Testing and Maintainance Services,yes,no,Self help,Management,smart worker,no,CRM Technical Developer
73.57142857,6,0,3,yes,no,yes,app development,system designing,yes,Management,system developer,higherstudies,BPA,yes,yes,Satire,Technical,hard worker,yes,Software Developer
80.71428571,12,0,6,yes,yes,yes,machine learning,system designing,no,data engineering,security,job,Testing and Maintainance Services,no,yes,Prayer books,Technical,hard worker,no,Systems Security Administrator
85,11,0,8,yes,yes,yes,distro making,testing,yes,Computer Architecture,cloud computing,job,Sales and Marketing,no,yes,Encyclopedias,Technical,smart worker,no,Network Engineer
73.42857143,11,0,1,yes,no,no,shell programming,hacking,no,Management,testing,higherstudies,Finance,no,no,Drama,Management,smart worker,yes,Technical Services/Help Desk/Tech Support
76.42857143,7,3,9,no,no,no,machine learning,database security,yes,Computer Architecture,testing,higherstudies,Web Services,yes,no,Health,Technical,hard worker,no,Systems Security Administrator
80.57142857,9,5,5,yes,yes,yes,hadoop,web technologies,yes,IOT,security,higherstudies,BPA,no,yes,Action and Adventure,Management,smart worker,yes,Web Developer
76,8,0,1,no,yes,no,full stack,hacking,no,Software Engineering,testing,higherstudies,Service Based,yes,yes,Fantasy,Technical,hard worker,no,Portal Administrator
78.71428571,5,5,6,yes,yes,no,full stack,game development,no,Computer Architecture,system developer,job,SAaS services,yes,yes,Anthology,Management,smart worker,yes,Software Developer
80.14285714,11,3,7,no,no,yes,distro making,data science,yes,parallel computing,Business process analyst,higherstudies,BPA,no,no,Biographies,Management,hard worker,no,Network Security Engineer
76.57142857,5,3,4,yes,no,yes,machine learning,cloud computing,no,networks,system developer,job,BPA,no,yes,Horror,Technical,smart worker,no,Solutions Architect
79.42857143,5,6,7,no,yes,no,shell programming,cloud computing,yes,hacking,developer,job,product development,no,yes,Poetry,Management,smart worker,yes,Network Security Administrator
72.14285714,12,1,7,no,yes,yes,app development,hacking,yes,data engineering,cloud computing,job,Service Based,no,no,Romance,Management,hard worker,yes,Portal Administrator
70,7,5,6,no,yes,yes,shell programming,cloud computing,no,IOT,security,job,Sales and Marketing,yes,yes,Anthology,Technical,hard worker,no,UX Designer
79.71428571,4,2,8,yes,no,yes,app development,system designing,no,Management,cloud computing,job,BPA,no,yes,Self help,Management,hard worker,yes,Project Manager
74,10,3,7,no,yes,no,hadoop,data science,yes,parallel computing,cloud computing,higherstudies,SAaS services,no,yes,Horror,Management,smart worker,yes,Project Manager
80.42857143,5,0,2,yes,no,yes,distro making,game development,yes,Management,cloud computing,job,Finance,yes,yes,History,Technical,hard worker,yes,Network Engineer
72.71428571,7,6,2,no,no,yes,machine learning,game development,no,cloud computing,Business process analyst,job,Product based,yes,yes,Fantasy,Management,smart worker,no,Quality Assurance Associate
72.42857143,6,6,4,no,no,yes,shell programming,testing,no,Management,system developer,higherstudies,Cloud Services,yes,no,Autobiographies,Technical,hard worker,no,Applications Developer
71.42857143,8,1,8,no,yes,yes,shell programming,game development,no,hacking,system developer,job,product development,no,no,Guide,Management,hard worker,yes,Technical Engineer
81.42857143,6,3,2,no,no,no,distro making,testing,no,networks,security,job,BPA,no,no,Prayer books,Management,hard worker,yes,Network Security Administrator
80,5,5,7,yes,no,yes,full stack,web technologies,yes,Management,cloud computing,higherstudies,Testing and Maintainance Services,yes,yes,Science fiction,Management,smart worker,yes,CRM Technical Developer
77,10,1,3,no,yes,yes,python,data science,no,Management,developer,job,Service Based,no,no,Horror,Technical,hard worker,yes,E-Commerce Analyst
78.42857143,6,4,1,yes,no,yes,information security,hacking,yes,parallel computing,developer,job,Testing and Maintainance Services,yes,no,Guide,Management,smart worker,no,Software Quality Assurance (QA) / Testing
75.57142857,12,3,7,yes,yes,no,machine learning,hacking,yes,hacking,cloud computing,job,Cloud Services,no,yes,Art,Technical,hard worker,yes,Network Security Administrator
82.71428571,12,4,1,no,yes,yes,r programming,cloud computing,no,networks,testing,job,Finance,no,yes,Self help,Management,hard worker,no,Network Engineer
76.14285714,7,5,8,yes,yes,yes,information security,database security,yes,programming,Business process analyst,job,SAaS services,no,yes,Drama,Technical,hard worker,no,Technical Engineer
73,7,5,1,no,no,yes,machine learning,system designing,no,parallel computing,system developer,higherstudies,Web Services,no,yes,Series,Management,hard worker,yes,Systems Security Administrator
77.14285714,6,2,5,no,yes,yes,python,data science,yes,Computer Architecture,testing,job,BPA,yes,no,Childrens,Management,hard worker,yes,Design & UX
82.71428571,4,5,8,yes,yes,yes,app development,web technologies,no,Computer Architecture,testing,job,Sales and Marketing,yes,yes,Mystery,Management,smart worker,yes,Database Administrator
81.85714286,4,6,1,no,yes,yes,hadoop,data science,no,parallel computing,cloud computing,higherstudies,Cloud Services,yes,yes,Cookbooks,Management,hard worker,yes,Programmer Analyst
77,4,3,4,no,no,yes,python,cloud computing,yes,programming,testing,job,SAaS services,yes,yes,Prayer books,Technical,hard worker,yes,Software Quality Assurance (QA) / Testing
80.42857143,7,5,4,no,yes,yes,machine learning,data science,no,networks,system developer,job,Finance,no,no,Science fiction,Management,smart worker,no,CRM Business Analyst
67.85714286,12,2,1,no,no,yes,shell programming,game development,yes,Management,testing,job,Web Services,yes,yes,Encyclopedias,Technical,hard worker,yes,Database Manager
80.71428571,6,0,3,no,yes,yes,python,database security,yes,hacking,developer,job,product development,no,yes,Poetry,Management,smart worker,no,Software Developer
68.14285714,6,1,7,yes,yes,yes,python,data science,yes,Management,testing,higherstudies,Product based,no,yes,Dictionaries,Management,smart worker,yes,Solutions Architect
77.57142857,12,5,7,no,no,no,shell programming,data science,no,Software Engineering,security,higherstudies,Product based,no,no,Horror,Management,hard worker,no,Information Security Analyst
73.14285714,10,3,1,no,no,yes,machine learning,web technologies,no,Software Engineering,cloud computing,higherstudies,Cloud Services,no,yes,Self help,Management,smart worker,no,Network Security Engineer
74.14285714,11,5,2,no,yes,yes,information security,cloud computing,yes,programming,cloud computing,higherstudies,Service Based,yes,yes,Dictionaries,Technical,hard worker,no,Network Engineer
73.57142857,4,0,6,yes,no,no,shell programming,database security,no,Software Engineering,security,job,Finance,yes,no,Trilogy,Technical,hard worker,no,Technical Support
76.28571429,11,3,2,no,yes,yes,information security,game development,yes,Computer Architecture,security,job,Sales and Marketing,yes,yes,Encyclopedias,Management,smart worker,no,Systems Analyst
72.28571429,11,6,3,no,yes,yes,r programming,data science,no,IOT,security,job,Service Based,yes,yes,Self help,Technical,smart worker,no,Information Technology Auditor
73.57142857,12,0,4,yes,no,no,hadoop,system designing,no,parallel computing,developer,higherstudies,Service Based,no,no,Diaries,Management,hard worker,no,CRM Technical Developer
79.28571429,5,1,7,no,yes,no,python,cloud computing,yes,Software Engineering,developer,job,Sales and Marketing,yes,yes,Horror,Technical,hard worker,no,Technical Services/Help Desk/Tech Support
73.85714286,5,3,1,yes,yes,yes,python,hacking,no,cloud computing,developer,higherstudies,SAaS services,no,yes,Biographies,Technical,hard worker,no,Software Quality Assurance (QA) / Testing
83.57142857,7,0,3,yes,no,yes,shell programming,system designing,no,cloud computing,Business process analyst,job,SAaS services,yes,no,Art,Management,hard worker,no,Business Systems Analyst
76.71428571,6,2,6,no,no,yes,r programming,data science,no,hacking,testing,job,BPA,no,yes,Fantasy,Management,hard worker,no,Technical Engineer
70.85714286,11,4,3,no,yes,yes,hadoop,web technologies,no,Computer Architecture,system developer,job,SAaS services,no,no,Poetry,Technical,hard worker,yes,Technical Support
77.42857143,12,5,5,no,no,no,hadoop,database security,no,Computer Architecture,cloud computing,job,Finance,no,no,Romance,Technical,smart worker,yes,Information Technology Auditor
78.28571429,5,2,6,yes,yes,no,information security,web technologies,no,parallel computing,system developer,job,Web Services,no,yes,Trilogy,Technical,hard worker,yes,Network Security Administrator
76.28571429,7,6,6,no,yes,yes,hadoop,hacking,no,networks,system developer,job,Service Based,yes,yes,Encyclopedias,Management,smart worker,yes,Information Technology Manager
81.57142857,7,0,3,no,no,no,shell programming,testing,yes,cloud computing,system developer,higherstudies,Cloud Services,no,no,Guide,Management,hard worker,no,Web Developer
74.28571429,7,2,8,yes,yes,yes,r programming,web technologies,yes,networks,cloud computing,higherstudies,SAaS services,no,yes,Self help,Technical,hard worker,no,Business Systems Analyst
72.14285714,9,0,2,no,no,no,distro making,game development,yes,Management,Business process analyst,job,Sales and Marketing,yes,no,Mystery,Technical,smart worker,yes,Systems Analyst
72.85714286,7,2,5,yes,no,no,information security,database security,no,hacking,system developer,job,Product based,yes,no,Horror,Technical,smart worker,no,Web Developer
84.14285714,7,0,8,yes,no,yes,machine learning,database security,yes,Software Engineering,system developer,job,Finance,yes,no,Self help,Management,smart worker,no,Solutions Architect
71.71428571,9,6,1,no,no,yes,information security,data science,no,cloud computing,Business process analyst,job,Product based,no,no,Guide,Technical,smart worker,no,UX Designer
74.42857143,8,6,3,no,yes,yes,full stack,hacking,no,programming,developer,job,Web Services,no,no,Biographies,Technical,smart worker,yes,Network Engineer
82,6,3,9,yes,no,yes,information security,testing,yes,data engineering,Business process analyst,job,product development,yes,yes,Travel,Technical,smart worker,no,Applications Developer
81.57142857,7,5,1,no,yes,yes,app development,cloud computing,yes,Management,security,higherstudies,Finance,no,no,Travel,Technical,smart worker,no,Project Manager
77,12,1,8,no,no,no,machine learning,system designing,no,hacking,cloud computing,job,Web Services,yes,no,Drama,Management,hard worker,no,UX Designer
81.14285714,4,4,7,yes,yes,no,shell programming,data science,yes,data engineering,testing,higherstudies,Product based,yes,no,Guide,Technical,hard worker,yes,Database Administrator
75,12,1,1,no,yes,yes,shell programming,web technologies,yes,programming,security,job,Cloud Services,no,no,Biographies,Management,smart worker,no,Information Technology Auditor
76.42857143,10,0,1,yes,no,no,hadoop,testing,no,networks,security,job,product development,yes,yes,Fantasy,Management,smart worker,yes,Database Developer
78.42857143,10,4,7,yes,yes,no,hadoop,database security,no,hacking,system developer,job,BPA,yes,yes,Romance,Technical,smart worker,yes,Database Manager
75.14285714,12,1,9,no,yes,no,information security,system designing,no,IOT,testing,higherstudies,Sales and Marketing,no,yes,Cookbooks,Technical,hard worker,no,Software Systems Engineer
78,9,1,9,no,yes,no,app development,hacking,yes,Computer Architecture,developer,higherstudies,SAaS services,no,yes,Self help,Management,hard worker,yes,UX Designer
74.42857143,6,0,1,no,yes,no,shell programming,database security,yes,parallel computing,developer,job,Web Services,no,no,Mystery,Management,smart worker,no,Solutions Architect
81.28571429,12,5,9,yes,no,no,app development,game development,no,programming,cloud computing,job,Sales and Marketing,no,yes,Horror,Management,hard worker,yes,Project Manager
75.14285714,10,1,6,yes,no,yes,machine learning,web technologies,yes,parallel computing,Business process analyst,higherstudies,SAaS services,no,yes,Health,Management,smart worker,no,Network Engineer
83.57142857,10,1,6,yes,yes,no,information security,hacking,yes,cloud computing,security,higherstudies,Finance,yes,yes,Health,Technical,hard worker,no,E-Commerce Analyst
74.42857143,5,4,8,yes,yes,no,information security,database security,no,networks,testing,job,Sales and Marketing,yes,no,Anthology,Management,smart worker,no,Business Systems Analyst
76.85714286,5,1,7,no,yes,no,full stack,system designing,yes,programming,system developer,job,Sales and Marketing,yes,yes,Childrens,Management,smart worker,no,E-Commerce Analyst
74.85714286,6,2,1,yes,yes,no,shell programming,system designing,yes,IOT,Business process analyst,job,Finance,no,yes,Satire,Technical,smart worker,no,Systems Security Administrator
71.71428571,6,0,4,no,no,no,app development,system designing,no,programming,testing,job,SAaS services,no,yes,Science,Technical,smart worker,yes,Mobile Applications Developer
80.42857143,11,1,6,yes,no,yes,machine learning,cloud computing,yes,networks,security,higherstudies,SAaS services,yes,yes,Guide,Management,smart worker,no,Business Systems Analyst
81,4,0,8,yes,no,yes,python,hacking,no,data engineering,system developer,job,Cloud Services,no,yes,Horror,Technical,smart worker,no,Quality Assurance Associate
78,11,1,7,yes,yes,no,machine learning,cloud computing,yes,Software Engineering,system developer,higherstudies,Finance,no,yes,Travel,Management,hard worker,yes,Technical Engineer
83.85714286,6,1,2,yes,yes,no,app development,hacking,no,parallel computing,developer,job,Web Services,yes,no,Horror,Management,hard worker,yes,Data Architect
80.71428571,5,0,5,yes,no,no,hadoop,system designing,yes,data engineering,Business process analyst,job,Sales and Marketing,no,no,Dictionaries,Technical,hard worker,yes,Software Quality Assurance (QA) / Testing
77.85714286,4,5,8,no,no,no,r programming,data science,yes,data engineering,cloud computing,higherstudies,Sales and Marketing,no,yes,Fantasy,Management,smart worker,no,CRM Technical Developer
73,7,5,4,yes,yes,no,hadoop,system designing,yes,networks,testing,job,Product based,no,yes,Trilogy,Management,hard worker,no,Database Developer
77.28571429,12,5,3,yes,no,no,hadoop,game development,no,cloud computing,cloud computing,job,Cloud Services,no,no,Science,Technical,hard worker,no,Information Security Analyst
81.42857143,4,5,5,no,yes,yes,information security,data science,yes,Software Engineering,Business process analyst,higherstudies,Testing and Maintainance Services,no,no,Childrens,Technical,hard worker,yes,Software Systems Engineer
77.85714286,7,6,2,yes,yes,no,distro making,hacking,yes,programming,security,job,BPA,yes,yes,Anthology,Technical,hard worker,yes,Design & UX
80.28571429,11,0,6,yes,no,yes,full stack,data science,no,data engineering,Business process analyst,job,Finance,yes,no,Science,Technical,smart worker,no,Database Developer
68.28571429,7,0,4,yes,yes,no,full stack,database security,no,programming,developer,higherstudies,product development,no,no,Comics,Technical,hard worker,no,Systems Analyst
83.14285714,6,6,9,no,yes,yes,python,web technologies,yes,hacking,developer,job,product development,yes,no,Religion-Spirituality,Technical,hard worker,no,Business Intelligence Analyst
73,6,3,1,yes,no,yes,shell programming,testing,no,parallel computing,security,job,Finance,no,no,Biographies,Management,hard worker,no,Software Engineer
77,4,2,8,no,no,no,hadoop,cloud computing,yes,parallel computing,testing,job,Service Based,yes,no,Mystery,Technical,hard worker,no,Network Security Administrator
77.14285714,10,3,1,no,no,yes,hadoop,system designing,no,Computer Architecture,developer,job,Product based,yes,yes,Biographies,Technical,hard worker,no,UX Designer
78.57142857,8,4,1,no,no,yes,hadoop,game development,no,cloud computing,Business process analyst,higherstudies,Web Services,yes,no,Encyclopedias,Management,smart worker,yes,Information Security Analyst
77.71428571,11,4,6,yes,no,no,distro making,testing,no,cloud computing,Business process analyst,job,SAaS services,yes,no,Horror,Management,hard worker,no,Software Systems Engineer
73.28571429,8,6,6,no,yes,yes,full stack,game development,no,IOT,security,job,product development,no,yes,History,Management,hard worker,yes,Network Engineer
69.71428571,12,6,3,yes,yes,no,hadoop,system designing,no,programming,Business process analyst,higherstudies,Finance,yes,yes,Travel,Management,smart worker,no,Network Security Administrator
75.28571429,12,4,3,no,yes,no,information security,web technologies,yes,programming,developer,job,Testing and Maintainance Services,yes,no,Biographies,Management,smart worker,no,Programmer Analyst
75.42857143,9,1,2,yes,no,no,full stack,system designing,yes,cloud computing,testing,job,Testing and Maintainance Services,no,yes,Satire,Technical,hard worker,no,Information Technology Manager
